player_id,games_played,goals,assists,minutes_played,yellow_cards,red_cards,goals_per_game,minutes_per_game
193004,32,2,0,2880,3,0,0.062,90.0
193033,3,0,0,6,0,0,0.0,2.0
193082,29,8,8,2524,5,0,0.276,87.0
193098,31,0,3,2558,5,0,0.0,82.5
193116,30,5,5,2158,5,0,0.167,71.9
193900,29,1,2,1012,4,0,0.034,34.9
195246,2,0,0,107,2,0,0.0,53.5
195488,35,0,0,3103,4,0,0.0,88.7
195778,34,0,1,3060,0,0,0.0,90.0
196095,24,5,4,666,1,0,0.208,27.8
196139,19,3,2,609,0,0,0.158,32.1
196231,6,0,0,148,0,0,0.0,24.7
196357,28,2,1,2019,7,0,0.071,72.1
196813,22,0,0,1975,1,0,0.0,89.8
196948,13,0,0,404,2,0,0.0,31.1
197300,29,4,2,1208,3,0,0.138,41.7
197471,29,1,0,2216,10,0,0.034,76.4
197473,30,0,0,1755,4,0,0.0,58.5
197747,32,0,0,2667,5,0,0.0,83.3
197838,29,7,3,2108,5,0,0.241,72.7
197929,27,0,0,2430,1,0,0.0,90.0
198008,31,10,0,1853,3,0,0.323,59.8
198116,35,7,18,2704,3,0,0.2,77.3
199248,37,2,1,3103,6,0,0.054,83.9
199527,33,3,2,1620,2,0,0.091,49.1
199733,27,3,3,1993,6,0,0.111,73.8
199953,31,4,1,975,0,0,0.129,31.5
199976,1,0,0,90,0,0,0.0,90.0
200056,5,0,0,170,0,0,0.0,34.0
201574,1,0,0,45,0,0,0.0,45.0
202591,17,1,0,299,0,0,0.059,17.6
202886,28,3,1,1126,2,0,0.107,40.2
203043,28,1,3,2069,3,0,0.036,73.9
203123,32,13,2,2396,5,0,0.406,74.9
203348,13,0,0,952,3,0,0.0,73.2
203460,20,2,6,1632,2,0,0.1,81.6
203504,2,0,0,78,0,0,0.0,39.0
203746,26,2,2,1731,4,0,0.077,66.6
203853,5,0,0,353,0,0,0.0,70.6
203938,15,0,1,1242,3,0,0.0,82.8
204103,24,0,0,377,1,0,0.0,15.7
205562,27,3,1,1259,4,0,0.111,46.6
