,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
156,Kristjan Asllani,al ALB,MF,Torino,it Serie A,24-034,2002,12.5,,,,,,,,,,,,,,,,,,,,,Matches
157,Joel Asoro,se SWE,FW,Metz,fr Ligue 1,26-350,1999,2.5,,,,,,,,,,,,,,,,,,,,,Matches
158,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,38-254,1987,9.1,,,,,,,,,,,,,,,,,,,,,Matches
159,Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,22-144,2003,6.8,,,,,,,,,,,,,,,,,,,,,Matches
160,Lorenz Assignon,tg TOG,"DF,MF",Stuttgart,de Bundesliga,25-294,2000,10.4,,,,,,,,,,,,,,,,,,,,,Matches
161,Dehmaine Assoumani,fr FRA,MF,Nantes,fr Ligue 1,20-360,2005,12.6,,,,,,,,,,,,,,,,,,,,,Matches
162,Lander Astiazaran,es ESP,MF,Real Sociedad,es La Liga,20-005,2006,0,,,,,,,,,,,,,,,,,,,,,Matches
163,Otavio Ataide,br BRA,DF,Paris FC,fr Ligue 1,23-356,2002,19.2,,,,,,,,,,,,,,,,,,,,,Matches
164,Zachary Athekame,ch SUI,"MF,DF",Milan,it Serie A,21-120,2004,6.4,,,,,,,,,,,,,,,,,,,,,Matches
165,Arthur Atta,fr FRA,MF,Udinese,it Serie A,23-088,2003,22.5,,,,,,,,,,,,,,,,,,,,,Matches
166,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23-322,2002,28,,,,,,,,,,,,,,,,,,,,,Matches
167,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,36-298,1989,19.3,,,,,,,,,,,,,,,,,,,,,Matches
168,Emil Audero,id IDN,GK,Cremonese,it Serie A,29-084,1997,28,,,,,,,,,,,,,,,,,,,,,Matches
169,Carlos Augusto,br BRA,"MF,DF",Inter,it Serie A,27-095,1999,13.8,,,,,,,,,,,,,,,,,,,,,Matches
170,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,25-134,2000,17.4,,,,,,,,,,,,,,,,,,,,,Matches
171,Leon Avdullahu,xk KVX,MF,Hoffenheim,de Bundesliga,22-048,2004,26.5,,,,,,,,,,,,,,,,,,,,,Matches
172,Ezequiel Ávila,ar ARG,FW,Real Betis,es La Liga,32-065,1994,3.9,,,,,,,,,,,,,,,,,,,,,Matches
173,Arthur Avom,cm CMR,MF,Lorient,fr Ligue 1,21-118,2004,20,,,,,,,,,,,,,,,,,,,,,Matches
174,Chidozie Awaziem,ng NGA,DF,Nantes,fr Ligue 1,29-101,1997,22.7,,,,,,,,,,,,,,,,,,,,,Matches
175,Taiwo Awoniyi,ng NGA,FW,Nottingham Forest,eng Premier League,28-243,1997,3.1,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
176,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,22-188,2003,20.2,,,,,,,,,,,,,,,,,,,,,Matches
177,Neil El Aynaoui,ma MAR,MF,Roma,it Serie A,24-284,2001,7.6,,,,,,,,,,,,,,,,,,,,,Matches
178,Ilyas Azizi,fr FRA,FW,Toulouse,fr Ligue 1,17-361,2008,0.1,,,,,,,,,,,,,,,,,,,,,Matches
